se,21
i,21
je,20
na,18
u,15
a,11
od,10
o,10
za,8
da,8
koji,7
(video),7
nije,5
ne,5
s,5
sa,5
su,5
novi,4
srbije,4
(foto),4
će,4
dve,3
jedna,3
markoviću:,3
